order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds
3322376,31,Jilin,4849,126.56526,43.84112,94,14,09-25 08:08:00,09-25 08:08:00,126.56614,43.87092,09-25 11:32:00,09-25 11:32:00,126.56919,43.84248,0925
4093119,31,Jilin,4849,126.56519,43.8411,94,14,08-21 09:11:00,08-21 09:11:00,126.56611,43.87081,08-21 15:00:00,08-21 15:00:00,126.56939,43.84269,0821
36226,31,Jilin,4849,126.56987,43.85017,235,14,06-08 15:42:00,06-08 15:42:00,126.56612,43.87074,06-08 17:24:00,06-08 17:24:00,126.57628,43.84771,0608
3950697,31,Jilin,4849,126.56984,43.85005,235,14,09-03 14:03:00,09-03 14:03:00,nan,nan,09-03 16:31:00,09-03 16:31:00,126.56815,43.85131,0903
4455630,31,Jilin,4849,126.56991,43.85006,235,14,06-07 14:54:00,06-07 14:54:00,126.56597,43.87104,06-07 16:58:00,06-07 16:58:00,126.5703,43.84985,0607
4084072,31,Jilin,4849,126.56984,43.85009,235,14,08-27 10:07:00,08-27 10:07:00,126.56608,43.8707,08-27 12:01:00,08-27 12:01:00,126.57007,43.8498,0827
782332,31,Jilin,4849,126.56996,43.85017,235,14,07-25 07:39:00,07-25 07:39:00,126.56668,43.87065,07-25 09:34:00,07-25 09:34:00,126.56983,43.84855,0725
3687996,31,Jilin,4849,126.5695,43.85019,235,14,05-19 15:18:00,05-19 15:18:00,126.56603,43.87084,05-19 17:19:00,05-19 17:19:00,126.5714,43.84761,0519
2000667,31,Jilin,4849,126.56989,43.85012,235,14,06-09 09:37:00,06-09 09:37:00,126.56604,43.87108,06-09 10:40:00,06-09 10:40:00,126.57317,43.85027,0609
3803636,31,Jilin,435,126.56212,43.86611,570,1,08-31 08:58:00,08-31 08:58:00,126.56605,43.8707,08-31 17:00:00,08-31 17:00:00,126.56274,43.86629,0831
1703107,31,Jilin,435,126.5621,43.86661,570,1,09-05 08:33:00,09-05 08:33:00,126.56604,43.87076,09-05 10:27:00,09-05 10:27:00,126.56198,43.86663,0905
3146980,31,Jilin,435,126.56217,43.8666,570,1,09-04 08:26:00,09-04 08:26:00,126.56616,43.87077,09-04 11:04:00,09-04 11:04:00,126.56598,43.86278,0904
1188099,31,Jilin,435,126.56215,43.86626,570,1,07-16 07:52:00,07-16 07:52:00,126.56614,43.87064,07-16 13:40:00,07-16 13:40:00,126.56189,43.86659,0716
2564707,31,Jilin,435,126.56288,43.86695,570,1,07-15 07:48:00,07-15 07:48:00,126.56607,43.87078,07-15 12:04:00,07-15 12:04:00,126.56278,43.86719,0715
2178430,31,Jilin,435,126.56373,43.86716,570,1,07-03 07:50:00,07-03 07:50:00,126.56608,43.87075,07-03 09:15:00,07-03 09:15:00,126.56371,43.86513,0703
4326336,31,Jilin,435,126.56204,43.86668,570,1,06-16 07:37:00,06-16 07:37:00,126.56606,43.87066,06-16 11:39:00,06-16 11:39:00,126.56247,43.86678,0616
118247,31,Jilin,435,126.56269,43.86519,570,1,06-14 07:53:00,06-14 07:53:00,126.56596,43.87115,06-14 09:52:00,06-14 09:52:00,126.56275,43.86521,0614
3019820,31,Jilin,435,126.56239,43.86514,570,1,08-15 07:55:00,08-15 07:55:00,126.56619,43.87079,08-15 10:52:00,08-15 10:52:00,126.56167,43.8654,0815
1853698,31,Jilin,435,126.56281,43.86707,570,1,09-26 08:40:00,09-26 08:40:00,nan,nan,09-26 14:25:00,09-26 14:25:00,126.56232,43.86717,0926
573091,31,Jilin,435,126.56189,43.86762,570,1,08-04 08:17:00,08-04 08:17:00,126.56604,43.87061,08-04 10:38:00,08-04 10:38:00,126.56168,43.86773,0804
4229443,31,Jilin,435,126.56342,43.86715,570,1,08-31 08:58:00,08-31 08:58:00,126.56612,43.87078,08-31 11:42:00,08-31 11:42:00,126.56222,43.86633,0831
2510744,31,Jilin,435,126.56359,43.8654,570,1,09-19 07:43:00,09-19 07:43:00,126.56606,43.87077,09-19 12:27:00,09-19 12:27:00,126.56365,43.86554,0919
1562257,31,Jilin,435,126.56198,43.86764,570,1,08-27 09:10:00,08-27 09:10:00,126.5662,43.87111,08-27 12:51:00,08-27 12:51:00,126.56296,43.8671,0827
299175,31,Jilin,435,126.56368,43.86698,570,1,08-23 08:09:00,08-23 08:09:00,126.56608,43.87082,08-23 13:04:00,08-23 13:04:00,126.56333,43.8671,0823
2210910,31,Jilin,435,126.56354,43.86629,570,1,05-29 08:15:00,05-29 08:15:00,126.566,43.87078,05-29 09:44:00,05-29 09:44:00,126.5634,43.86632,0529
798252,31,Jilin,435,126.56342,43.86723,570,1,08-16 07:58:00,08-16 07:58:00,126.56605,43.87071,08-16 14:12:00,08-16 14:12:00,126.56231,43.86732,0816
4132304,31,Jilin,435,126.56192,43.86768,570,1,09-20 08:15:00,09-20 08:15:00,126.56604,43.87107,09-20 11:49:00,09-20 11:49:00,126.56176,43.86772,0920
1526139,31,Jilin,435,126.5632,43.86592,570,1,09-08 08:41:00,09-08 08:41:00,126.56606,43.871,09-08 12:12:00,09-08 12:12:00,126.56588,43.86271,0908
3018843,31,Jilin,435,126.56355,43.86688,570,1,08-24 08:32:00,08-24 08:32:00,126.56607,43.87088,08-24 14:54:00,08-24 14:54:00,126.56374,43.86715,0824
175628,31,Jilin,435,126.56327,43.8671,570,1,05-29 14:19:00,05-29 14:19:00,126.56588,43.87114,05-29 15:16:00,05-29 15:16:00,126.56363,43.86758,0529
865714,31,Jilin,435,126.56247,43.8655,570,1,05-31 09:45:00,05-31 09:45:00,126.56601,43.87081,05-31 11:04:00,05-31 11:04:00,126.56305,43.86573,0531
3523131,31,Jilin,435,126.56189,43.86765,570,1,08-28 09:41:00,08-28 09:41:00,126.56616,43.87061,08-28 15:11:00,08-28 15:11:00,126.56195,43.86785,0828
1697887,31,Jilin,435,126.56344,43.86659,570,1,07-25 14:43:00,07-25 14:43:00,126.5661,43.87097,07-25 15:07:00,07-25 15:07:00,126.56628,43.87072,0725
3397031,31,Jilin,435,126.56367,43.8654,570,1,09-02 15:40:00,09-02 15:40:00,126.56361,43.86558,09-02 15:41:00,09-02 15:41:00,126.56378,43.86564,0902
4289710,31,Jilin,435,126.5632,43.86743,570,1,07-25 07:53:00,07-25 07:53:00,126.56617,43.87073,07-25 10:04:00,07-25 10:04:00,126.56378,43.86768,0725
4010067,31,Jilin,435,126.56325,43.86587,570,1,07-09 08:08:00,07-09 08:08:00,126.56605,43.87077,07-09 10:19:00,07-09 10:19:00,126.56328,43.86586,0709
563644,31,Jilin,435,126.56199,43.86755,570,1,07-24 08:04:00,07-24 08:04:00,126.56598,43.87095,07-24 13:17:00,07-24 13:17:00,126.56164,43.8677,0724
2805781,31,Jilin,435,126.56321,43.86588,570,1,06-04 18:22:00,06-04 18:22:00,126.56606,43.87086,06-04 19:08:00,06-04 19:08:00,126.56358,43.86597,0604
2795226,31,Jilin,435,126.56285,43.86709,570,1,05-20 17:45:00,05-20 17:45:00,126.56613,43.87078,05-20 17:54:00,05-20 17:54:00,126.56609,43.87076,0520
1680820,31,Jilin,435,126.56192,43.86768,570,1,07-20 07:52:00,07-20 07:52:00,126.56615,43.871,07-20 12:03:00,07-20 12:03:00,126.56176,43.86772,0720
4076400,31,Jilin,435,126.56191,43.86767,570,1,05-18 08:38:00,05-18 08:38:00,126.56617,43.87082,05-18 13:28:00,05-18 13:28:00,126.5617,43.86795,0518
3334309,31,Jilin,435,126.56286,43.86709,570,1,05-27 08:14:00,05-27 08:14:00,126.56605,43.87075,05-27 14:06:00,05-27 14:06:00,126.56157,43.86696,0527
3766002,31,Jilin,435,126.56358,43.86725,570,1,07-14 08:32:00,07-14 08:32:00,126.56607,43.87075,07-14 09:54:00,07-14 09:54:00,126.5623,43.86749,0714
3371324,31,Jilin,435,126.56353,43.86615,570,1,08-26 08:47:00,08-26 08:47:00,126.56624,43.8707,08-26 12:34:00,08-26 12:34:00,126.56558,43.8627,0826
1207527,31,Jilin,435,126.56209,43.86556,570,1,07-25 08:18:00,07-25 08:18:00,126.56614,43.87097,07-25 10:19:00,07-25 10:19:00,126.56227,43.86566,0725
2754711,31,Jilin,435,126.56342,43.86718,570,1,09-30 08:16:00,09-30 08:16:00,126.56615,43.87072,09-30 11:53:00,09-30 11:53:00,126.56229,43.8674,0930
3661973,31,Jilin,435,126.56365,43.86535,570,1,07-06 07:55:00,07-06 07:55:00,126.56604,43.87087,07-06 12:07:00,07-06 12:07:00,126.56364,43.86561,0706
3500931,31,Jilin,435,126.5637,43.86719,570,1,07-02 08:06:00,07-02 08:06:00,126.56603,43.87073,07-02 10:13:00,07-02 10:13:00,126.56373,43.86524,0702
649249,31,Jilin,435,126.56183,43.86757,570,1,06-19 15:03:00,06-19 15:03:00,126.55998,43.86688,06-19 16:01:00,06-19 16:01:00,126.56609,43.87055,0619
1564922,31,Jilin,435,126.56192,43.86756,570,1,09-19 07:48:00,09-19 07:48:00,126.56607,43.87066,09-19 12:45:00,09-19 12:45:00,126.56616,43.87106,0919
3783846,31,Jilin,435,126.56212,43.8662,570,1,09-02 07:40:00,09-02 07:40:00,126.56612,43.87079,09-02 11:18:00,09-02 11:18:00,126.56184,43.86636,0902
3141083,31,Jilin,435,126.56219,43.86557,570,1,07-21 07:50:00,07-21 07:50:00,126.5661,43.87083,07-21 13:26:00,07-21 13:26:00,126.56267,43.86569,0721
1103923,31,Jilin,435,126.56194,43.86761,570,1,07-05 08:52:00,07-05 08:52:00,nan,nan,07-05 12:38:00,07-05 12:38:00,126.56176,43.86768,0705
1930254,31,Jilin,435,126.5619,43.86753,570,1,05-20 07:53:00,05-20 07:53:00,126.56611,43.87087,05-20 10:00:00,05-20 10:00:00,126.56161,43.86791,0520
3397305,31,Jilin,435,126.56355,43.86643,570,1,05-30 08:43:00,05-30 08:43:00,126.56603,43.87064,05-30 10:43:00,05-30 10:43:00,126.56344,43.86667,0530
1397062,31,Jilin,435,126.56319,43.86755,570,1,07-19 07:48:00,07-19 07:48:00,126.56606,43.87065,07-19 12:30:00,07-19 12:30:00,126.56372,43.86761,0719
1205092,31,Jilin,435,126.56192,43.86765,570,1,06-29 09:23:00,06-29 09:23:00,126.56603,43.87073,06-29 10:38:00,06-29 10:38:00,126.56366,43.86668,0629
3926653,31,Jilin,435,126.5628,43.86693,570,1,05-29 14:19:00,05-29 14:19:00,126.56604,43.87108,05-29 15:07:00,05-29 15:07:00,126.56252,43.8672,0529
1994231,31,Jilin,435,126.56285,43.86699,570,1,07-03 07:45:00,07-03 07:45:00,126.56601,43.87077,07-03 09:09:00,07-03 09:09:00,126.56158,43.86716,0703
2741681,31,Jilin,435,126.56345,43.86721,570,1,06-07 07:53:00,06-07 07:53:00,126.5661,43.87074,06-07 09:47:00,06-07 09:47:00,126.56199,43.86745,0607
2535068,31,Jilin,435,126.56213,43.86611,570,1,09-02 07:44:00,09-02 07:44:00,126.56602,43.87085,09-02 11:40:00,09-02 11:40:00,126.56364,43.8656,0902
2948851,31,Jilin,435,126.56196,43.8676,570,1,09-06 08:00:00,09-06 08:00:00,126.566,43.87073,09-06 16:25:00,09-06 16:25:00,126.56612,43.87064,0906
1029070,31,Jilin,435,126.56319,43.86745,570,1,07-10 07:51:00,07-10 07:51:00,126.56603,43.87089,07-10 11:07:00,07-10 11:07:00,126.56433,43.86695,0710
2836703,31,Jilin,435,126.56311,43.86753,570,1,07-08 08:15:00,07-08 08:15:00,126.56618,43.8707,07-08 11:28:00,07-08 11:28:00,126.56374,43.86595,0708
130411,31,Jilin,435,126.56197,43.86767,570,1,07-18 08:05:00,07-18 08:05:00,126.56614,43.87086,07-18 11:05:00,07-18 11:05:00,126.56176,43.86785,0718
3142177,31,Jilin,435,126.5618,43.86594,570,1,09-01 08:53:00,09-01 08:53:00,126.56618,43.87071,09-01 16:06:00,09-01 16:06:00,126.56196,43.86574,0901
2126578,31,Jilin,435,126.56265,43.86589,570,1,08-30 09:19:00,08-30 09:19:00,126.56603,43.87083,08-30 15:04:00,08-30 15:04:00,126.56261,43.8659,0830
2011976,31,Jilin,435,126.56195,43.86753,570,1,09-21 09:00:00,09-21 09:00:00,126.56602,43.87105,09-21 12:56:00,09-21 12:56:00,126.56179,43.86779,0921
3980398,31,Jilin,435,126.56283,43.86709,570,1,05-29 08:15:00,05-29 08:15:00,126.566,43.87079,05-29 09:36:00,05-29 09:36:00,126.56267,43.86713,0529
2656132,31,Jilin,435,126.56324,43.86745,570,1,08-29 08:40:00,08-29 08:40:00,126.56619,43.87088,08-29 13:45:00,08-29 13:45:00,126.56324,43.86763,0829
3680068,31,Jilin,435,126.56196,43.86769,570,1,08-28 09:41:00,08-28 09:41:00,126.56617,43.87076,08-28 17:11:00,08-28 17:11:00,126.53204,43.88193,0828
2551443,31,Jilin,435,126.5619,43.86756,570,1,09-09 09:15:00,09-09 09:15:00,126.56629,43.87103,09-09 11:58:00,09-09 11:58:00,126.56158,43.86791,0909
