aoi_id,aoi_type
94,14
235,14
570,1
819,14
970,1
1101,10
1118,0
1530,14
1642,4
1665,1
1696,14
1822,4
1996,14
2236,14
2553,14
2796,1
2928,13
3044,1
3081,14
3598,14
3631,1
3772,14
4036,14
4310,1
5182,1
5300,1
5314,14
5569,1
5647,1
5704,14
5789,7
5932,14
5944,14
6011,4
6018,14
6301,1
6393,1
6852,1
7307,14
7493,14
7771,14
7779,14
7782,1
8006,1
8103,1
8112,14
8384,13
8444,1
8472,1
8556,1
9071,1
9104,1
9398,1
9441,14
9494,14
9502,1
9565,14
10052,14
10069,14
10080,14
10283,1
10631,1
10752,14
10790,12
10863,1
11030,1
11415,14
11440,1
11600,14
11647,1
11840,14
12538,14
12761,14
12996,1
13183,1
13184,14
13316,1
13464,1
13468,1
13549,1
13799,14
13919,1
13989,7
14083,4
14173,1
14794,1
14853,14
14907,1
15688,1
15710,1
15899,14
15911,14
15991,12
16012,3
16085,1
16176,1
16244,14
16247,1
16497,1
16746,12
16933,14
16960,1
17246,14
17463,14
17682,7
17754,1
17860,7
18072,14
18432,12
18606,14
18798,1
18808,4
18849,1
18936,1
18965,14
19100,14
19134,14
19135,14
19326,14
19890,14
20132,12
20255,14
20360,14
20428,1
20570,7
20778,14
20936,14
20946,1
21130,14
21202,14
21358,14
21649,0
21752,14
22008,1
22254,14
22334,14
22450,12
23349,7
23461,14
23468,1
23669,14
23849,14
24339,1
24345,14
24543,1
25071,4
25190,1
25537,1
25621,7
25646,14
25687,1
25914,14
25976,1
26243,14
26323,4
26361,7
26637,14
26705,1
26808,1
26865,1
26891,14
27720,14
28017,14
28096,14
28366,7
28772,14
28865,1
28957,0
29193,1
29492,1
30113,14
30242,1
30296,14
30942,1
31417,1
31440,14
31845,14
32085,3
32112,1
32221,1
32583,1
32584,14
32663,1
32807,1
32819,1
33050,1
33154,14
33181,1
33452,1
33709,3
33795,14
34177,14
34231,14
34404,14
34599,14
34720,1
34738,10
34863,1
34936,14
35007,14
35294,14
35429,14
35440,14
35478,1
35857,12
35900,1
35910,1
35984,1
36018,1
36158,1
36500,14
36553,1
37064,14
37289,7
37327,3
37533,14
37719,14
38012,1
38165,14
38263,1
38926,14
38961,14
39219,14
39230,14
39472,4
39705,14
39710,1
39724,1
39772,7
39953,1
39974,14
40178,1
40504,14
40884,1
41344,12
41442,14
41489,1
41760,14
41903,1
42078,1
42217,1
42597,14
42847,1
43171,1
43201,4
43217,14
43432,14
43798,14
43878,14
43899,14
43946,4
44289,1
44320,1
44359,14
44400,1
44419,14
44572,12
44702,14
44710,1
44726,1
44794,12
44810,1
45129,1
45191,14
45213,1
45684,12
45949,14
45953,14
46191,14
46511,12
46542,14
46788,14
47104,1
47176,14
47237,1
47367,1
47633,14
47785,1
47788,14
47792,1
48139,14
48391,1
48458,14
48464,14
48569,14
48965,14
49011,14
49087,1
49206,1
49267,0
49269,1
49273,1
49602,1
49612,10
49627,14
49630,14
49731,14
49895,14
50147,4
50234,1
50247,1
50287,1
50433,1
50954,3
51019,0
51056,4
51498,1
51658,12
51726,1
51781,1
52007,14
52375,1
52532,1
52596,1
52667,1
52793,14
52976,12
52986,14
53001,14
53510,1
53867,0
53998,13
54010,14
54239,1
54283,0
54328,1
54571,14
54643,12
54780,1
55024,7
55132,14
55236,14
55259,1
55466,1
55525,1
55844,0
56111,1
56437,14
56460,1
56567,1
56582,1
56765,14
57017,14
57050,14
57051,1
57286,1
57679,1
57996,14
58109,14
58624,14
58824,7
58951,14
59019,1
59111,14
59454,3
59603,7
59690,1
59983,14
328,1
584,14
629,3
754,14
952,1
1317,3
1346,7
1402,1
1481,1
1713,1
1838,1
2288,14
2512,1
2829,1
2888,4
3177,1
3364,7
3471,1
3767,14
3811,14
4003,14
4706,1
4891,14
5208,14
5573,1
5740,4
5933,1
6599,14
6671,1
6704,1
6851,14
7156,1
7189,1
7388,14
7448,1
7973,14
8024,14
8090,14
8129,14
8251,14
8306,1
8358,14
8681,12
8786,14
9028,14
9037,1
9147,14
9603,14
9734,14
9781,14
9785,1
9811,7
9846,14
10049,1
10156,14
10400,1
10651,14
10782,1
10939,0
11490,13
11537,14
11885,1
12215,14
12230,14
12613,14
12648,1
12690,14
12881,14
12962,14
12990,1
13164,1
13177,3
13214,14
13334,10
13792,14
14022,14
14055,14
14303,1
14360,1
14373,1
14387,14
15240,1
15516,1
15543,14
15877,14
15920,14
16364,14
16457,10
16510,1
16576,1
16842,14
16891,14
17037,14
17123,1
17232,14
17447,1
17739,14
17850,14
17896,1
17898,0
17940,7
17944,14
18033,1
18131,1
18228,1
18628,12
18651,14
18820,14
18923,4
19133,14
19329,14
19451,14
19706,1
19730,4
19837,4
19996,0
20165,14
20368,1
20617,14
20663,1
20670,1
20674,14
20767,1
20869,4
20882,13
21019,1
21120,14
21129,1
21412,1
21434,14
21930,1
21986,14
22007,10
22596,14
22969,1
23150,14
23421,2
23553,14
23616,14
23671,14
23760,1
23982,14
24212,1
24279,14
24423,14
24837,14
24957,14
25057,1
25075,14
25076,12
25234,14
25272,14
25401,1
25497,4
25708,14
25723,14
25798,14
25948,1
25964,1
26312,5
26427,14
26541,1
26658,1
26703,1
26953,14
26996,1
27325,1
27334,0
27457,14
27597,14
27744,1
28533,1
28542,0
28815,14
28993,14
29173,1
29279,4
29333,14
29376,1
29397,1
29706,12
29783,1
30169,4
30437,1
30548,1
30554,1
31004,4
31102,14
31190,7
31299,4
31324,1
31443,14
31689,14
31700,14
32089,14
32622,14
32846,3
32917,4
32929,1
32984,1
33045,1
33128,14
33200,14
33339,14
33759,14
33928,1
34278,14
34918,1
34929,1
35154,1
35277,14
35673,1
35800,14
36179,14
36247,14
36543,14
36840,14
36997,1
37082,1
37180,14
37274,14
37659,14
37878,1
37881,1
37888,0
38133,0
38479,14
38713,10
38784,1
38982,1
39381,10
39452,14
39525,1
39877,1
40076,1
40214,14
40284,1
40415,14
40423,0
40890,1
40932,1
41019,14
41204,10
41683,14
41762,1
42098,14
42280,1
42638,1
42716,8
42803,14
42840,14
42963,14
43031,14
43117,1
44253,14
44666,1
44704,4
44855,1
44880,14
