order_id,region_id,city,courier_id,aoi_id,aoi_type,accept_time,delivery_time,delivery_duration,is_delayed
3322376,31,Jilin,4849,94,14,2023-09-25 08:08:00,2023-09-25 11:32:00,3.4,1
4093119,31,Jilin,4849,94,14,2023-08-21 09:11:00,2023-08-21 15:00:00,5.816666666666666,1
36226,31,Jilin,4849,235,14,2023-06-08 15:42:00,2023-06-08 17:24:00,1.7,0
3950697,31,Jilin,4849,235,14,2023-09-03 14:03:00,2023-09-03 16:31:00,2.466666666666667,1
4455630,31,Jilin,4849,235,14,2023-06-07 14:54:00,2023-06-07 16:58:00,2.066666666666667,1
4084072,31,Jilin,4849,235,14,2023-08-27 10:07:00,2023-08-27 12:01:00,1.9,0
782332,31,Jilin,4849,235,14,2023-07-25 07:39:00,2023-07-25 09:34:00,1.9166666666666667,0
3687996,31,Jilin,4849,235,14,2023-05-19 15:18:00,2023-05-19 17:19:00,2.0166666666666666,1
2000667,31,Jilin,4849,235,14,2023-06-09 09:37:00,2023-06-09 10:40:00,1.05,0
3803636,31,Jilin,435,570,1,2023-08-31 08:58:00,2023-08-31 17:00:00,8.033333333333333,1
1703107,31,Jilin,435,570,1,2023-09-05 08:33:00,2023-09-05 10:27:00,1.9,0
3146980,31,Jilin,435,570,1,2023-09-04 08:26:00,2023-09-04 11:04:00,2.6333333333333333,1
1188099,31,Jilin,435,570,1,2023-07-16 07:52:00,2023-07-16 13:40:00,5.8,1
2564707,31,Jilin,435,570,1,2023-07-15 07:48:00,2023-07-15 12:04:00,4.266666666666667,1
2178430,31,Jilin,435,570,1,2023-07-03 07:50:00,2023-07-03 09:15:00,1.4166666666666667,0
4326336,31,Jilin,435,570,1,2023-06-16 07:37:00,2023-06-16 11:39:00,4.033333333333333,1
118247,31,Jilin,435,570,1,2023-06-14 07:53:00,2023-06-14 09:52:00,1.9833333333333334,0
3019820,31,Jilin,435,570,1,2023-08-15 07:55:00,2023-08-15 10:52:00,2.95,1
1853698,31,Jilin,435,570,1,2023-09-26 08:40:00,2023-09-26 14:25:00,5.75,1
573091,31,Jilin,435,570,1,2023-08-04 08:17:00,2023-08-04 10:38:00,2.35,1
4229443,31,Jilin,435,570,1,2023-08-31 08:58:00,2023-08-31 11:42:00,2.7333333333333334,1
2510744,31,Jilin,435,570,1,2023-09-19 07:43:00,2023-09-19 12:27:00,4.733333333333333,1
1562257,31,Jilin,435,570,1,2023-08-27 09:10:00,2023-08-27 12:51:00,3.683333333333333,1
299175,31,Jilin,435,570,1,2023-08-23 08:09:00,2023-08-23 13:04:00,4.916666666666667,1
2210910,31,Jilin,435,570,1,2023-05-29 08:15:00,2023-05-29 09:44:00,1.4833333333333334,0
798252,31,Jilin,435,570,1,2023-08-16 07:58:00,2023-08-16 14:12:00,6.233333333333333,1
4132304,31,Jilin,435,570,1,2023-09-20 08:15:00,2023-09-20 11:49:00,3.566666666666667,1
1526139,31,Jilin,435,570,1,2023-09-08 08:41:00,2023-09-08 12:12:00,3.5166666666666666,1
3018843,31,Jilin,435,570,1,2023-08-24 08:32:00,2023-08-24 14:54:00,6.366666666666666,1
175628,31,Jilin,435,570,1,2023-05-29 14:19:00,2023-05-29 15:16:00,0.95,0
865714,31,Jilin,435,570,1,2023-05-31 09:45:00,2023-05-31 11:04:00,1.3166666666666667,0
3523131,31,Jilin,435,570,1,2023-08-28 09:41:00,2023-08-28 15:11:00,5.5,1
1697887,31,Jilin,435,570,1,2023-07-25 14:43:00,2023-07-25 15:07:00,0.4,0
3397031,31,Jilin,435,570,1,2023-09-02 15:40:00,2023-09-02 15:41:00,0.016666666666666666,0
4289710,31,Jilin,435,570,1,2023-07-25 07:53:00,2023-07-25 10:04:00,2.183333333333333,1
4010067,31,Jilin,435,570,1,2023-07-09 08:08:00,2023-07-09 10:19:00,2.183333333333333,1
563644,31,Jilin,435,570,1,2023-07-24 08:04:00,2023-07-24 13:17:00,5.216666666666667,1
2805781,31,Jilin,435,570,1,2023-06-04 18:22:00,2023-06-04 19:08:00,0.7666666666666667,0
2795226,31,Jilin,435,570,1,2023-05-20 17:45:00,2023-05-20 17:54:00,0.15,0
1680820,31,Jilin,435,570,1,2023-07-20 07:52:00,2023-07-20 12:03:00,4.183333333333334,1
4076400,31,Jilin,435,570,1,2023-05-18 08:38:00,2023-05-18 13:28:00,4.833333333333333,1
3334309,31,Jilin,435,570,1,2023-05-27 08:14:00,2023-05-27 14:06:00,5.866666666666666,1
3766002,31,Jilin,435,570,1,2023-07-14 08:32:00,2023-07-14 09:54:00,1.3666666666666667,0
3371324,31,Jilin,435,570,1,2023-08-26 08:47:00,2023-08-26 12:34:00,3.783333333333333,1
1207527,31,Jilin,435,570,1,2023-07-25 08:18:00,2023-07-25 10:19:00,2.0166666666666666,1
2754711,31,Jilin,435,570,1,2023-09-30 08:16:00,2023-09-30 11:53:00,3.6166666666666667,1
3661973,31,Jilin,435,570,1,2023-07-06 07:55:00,2023-07-06 12:07:00,4.2,1
3500931,31,Jilin,435,570,1,2023-07-02 08:06:00,2023-07-02 10:13:00,2.1166666666666667,1
649249,31,Jilin,435,570,1,2023-06-19 15:03:00,2023-06-19 16:01:00,0.9666666666666667,0
1564922,31,Jilin,435,570,1,2023-09-19 07:48:00,2023-09-19 12:45:00,4.95,1
3783846,31,Jilin,435,570,1,2023-09-02 07:40:00,2023-09-02 11:18:00,3.6333333333333333,1
3141083,31,Jilin,435,570,1,2023-07-21 07:50:00,2023-07-21 13:26:00,5.6,1
1103923,31,Jilin,435,570,1,2023-07-05 08:52:00,2023-07-05 12:38:00,3.7666666666666666,1
1930254,31,Jilin,435,570,1,2023-05-20 07:53:00,2023-05-20 10:00:00,2.1166666666666667,1
3397305,31,Jilin,435,570,1,2023-05-30 08:43:00,2023-05-30 10:43:00,2.0,0
1397062,31,Jilin,435,570,1,2023-07-19 07:48:00,2023-07-19 12:30:00,4.7,1
1205092,31,Jilin,435,570,1,2023-06-29 09:23:00,2023-06-29 10:38:00,1.25,0
3926653,31,Jilin,435,570,1,2023-05-29 14:19:00,2023-05-29 15:07:00,0.8,0
1994231,31,Jilin,435,570,1,2023-07-03 07:45:00,2023-07-03 09:09:00,1.4,0
2741681,31,Jilin,435,570,1,2023-06-07 07:53:00,2023-06-07 09:47:00,1.9,0
2535068,31,Jilin,435,570,1,2023-09-02 07:44:00,2023-09-02 11:40:00,3.933333333333333,1
2948851,31,Jilin,435,570,1,2023-09-06 08:00:00,2023-09-06 16:25:00,8.416666666666666,1
1029070,31,Jilin,435,570,1,2023-07-10 07:51:00,2023-07-10 11:07:00,3.2666666666666666,1
2836703,31,Jilin,435,570,1,2023-07-08 08:15:00,2023-07-08 11:28:00,3.216666666666667,1
130411,31,Jilin,435,570,1,2023-07-18 08:05:00,2023-07-18 11:05:00,3.0,1
3142177,31,Jilin,435,570,1,2023-09-01 08:53:00,2023-09-01 16:06:00,7.216666666666667,1
2126578,31,Jilin,435,570,1,2023-08-30 09:19:00,2023-08-30 15:04:00,5.75,1
2011976,31,Jilin,435,570,1,2023-09-21 09:00:00,2023-09-21 12:56:00,3.933333333333333,1
3980398,31,Jilin,435,570,1,2023-05-29 08:15:00,2023-05-29 09:36:00,1.35,0
2656132,31,Jilin,435,570,1,2023-08-29 08:40:00,2023-08-29 13:45:00,5.083333333333333,1
3680068,31,Jilin,435,570,1,2023-08-28 09:41:00,2023-08-28 17:11:00,7.5,1
2551443,31,Jilin,435,570,1,2023-09-09 09:15:00,2023-09-09 11:58:00,2.716666666666667,1
4447172,31,Jilin,435,570,1,2023-05-17 08:00:00,2023-05-17 13:04:00,5.066666666666666,1
4358233,31,Jilin,435,570,1,2023-08-07 08:10:00,2023-08-07 11:29:00,3.316666666666667,1
3482956,31,Jilin,435,570,1,2023-08-01 08:11:00,2023-08-01 08:57:00,0.7666666666666667,0
1761826,31,Jilin,435,570,1,2023-07-02 08:10:00,2023-07-02 10:03:00,1.8833333333333333,0
4152509,31,Jilin,435,570,1,2023-09-07 08:55:00,2023-09-07 15:16:00,6.35,1
2250016,31,Jilin,435,570,1,2023-09-25 12:30:00,2023-09-25 16:58:00,4.466666666666667,1
2610260,31,Jilin,435,570,1,2023-09-28 08:21:00,2023-09-28 11:51:00,3.5,1
623163,31,Jilin,435,570,1,2023-08-19 08:02:00,2023-08-19 13:17:00,5.25,1
692200,31,Jilin,1558,570,1,2023-10-05 08:01:00,2023-10-05 13:55:00,5.9,1
236676,31,Jilin,1558,570,1,2023-10-10 09:14:00,2023-10-10 14:36:00,5.366666666666666,1
2237855,31,Jilin,4609,570,1,2023-06-17 12:34:00,2023-06-17 13:06:00,0.5333333333333333,0
347620,31,Jilin,4609,570,1,2023-06-18 12:18:00,2023-06-18 13:03:00,0.75,0
2305133,31,Jilin,4609,570,1,2023-06-17 12:34:00,2023-06-17 13:12:00,0.6333333333333333,0
3930116,31,Jilin,4609,570,1,2023-06-17 08:25:00,2023-06-17 09:05:00,0.6666666666666666,0
1629224,31,Jilin,4609,570,1,2023-06-18 12:24:00,2023-06-18 12:49:00,0.4166666666666667,0
4341092,31,Jilin,949,819,14,2023-09-10 08:04:00,2023-09-10 10:00:00,1.9333333333333333,0
188410,31,Jilin,949,819,14,2023-07-07 07:53:00,2023-07-07 09:50:00,1.95,0
1179290,31,Jilin,949,819,14,2023-08-28 08:53:00,2023-08-28 10:38:00,1.75,0
3541419,31,Jilin,949,819,14,2023-10-02 09:59:00,2023-10-02 10:10:00,0.18333333333333332,0
1014290,31,Jilin,949,819,14,2023-09-30 08:10:00,2023-09-30 11:44:00,3.566666666666667,1
999258,31,Jilin,949,819,14,2023-08-29 08:34:00,2023-08-29 11:56:00,3.3666666666666667,1
1553172,31,Jilin,949,819,14,2023-05-30 14:52:00,2023-05-30 16:27:00,1.5833333333333333,0
601532,31,Jilin,949,819,14,2023-09-02 07:48:00,2023-09-02 09:51:00,2.05,1
2232485,31,Jilin,949,819,14,2023-08-26 08:55:00,2023-08-26 10:48:00,1.8833333333333333,0
3277890,31,Jilin,949,819,14,2023-09-11 08:47:00,2023-09-11 12:21:00,3.566666666666667,1
28450,31,Jilin,949,819,14,2023-09-22 07:57:00,2023-09-22 09:54:00,1.95,0
2157859,31,Jilin,949,819,14,2023-09-06 08:21:00,2023-09-06 11:15:00,2.9,1
829416,31,Jilin,949,819,14,2023-09-01 09:03:00,2023-09-01 10:46:00,1.7166666666666666,0
3844755,31,Jilin,949,819,14,2023-08-18 07:39:00,2023-08-18 09:46:00,2.1166666666666667,1
4509296,31,Jilin,949,819,14,2023-05-18 08:55:00,2023-05-18 11:43:00,2.8,1
245080,31,Jilin,949,819,14,2023-06-19 13:50:00,2023-06-19 15:12:00,1.3666666666666667,0
2704756,31,Jilin,949,819,14,2023-08-18 07:39:00,2023-08-18 09:51:00,2.2,1
393583,31,Jilin,949,819,14,2023-06-15 07:45:00,2023-06-15 09:45:00,2.0,0
2611512,31,Jilin,949,819,14,2023-09-20 08:36:00,2023-09-20 10:25:00,1.8166666666666667,0
1885731,31,Jilin,949,819,14,2023-09-20 08:35:00,2023-09-20 10:56:00,2.35,1
4134821,31,Jilin,949,819,14,2023-08-01 10:13:00,2023-08-01 12:45:00,2.533333333333333,1
3971571,31,Jilin,949,819,14,2023-09-26 07:35:00,2023-09-26 10:42:00,3.1166666666666667,1
4147571,31,Jilin,949,819,14,2023-07-25 07:44:00,2023-07-25 09:51:00,2.1166666666666667,1
2793674,31,Jilin,949,819,14,2023-09-22 09:41:00,2023-09-22 09:45:00,0.06666666666666667,0
157038,31,Jilin,1558,819,14,2023-10-06 07:53:00,2023-10-06 15:36:00,7.716666666666667,1
2361215,31,Jilin,1558,970,1,2023-09-03 09:21:00,2023-09-03 10:06:00,0.75,0
2916955,31,Jilin,1558,970,1,2023-09-09 07:57:00,2023-09-09 08:52:00,0.9166666666666666,0
338918,31,Jilin,1558,970,1,2023-09-07 09:03:00,2023-09-07 09:55:00,0.8666666666666667,0
2220507,31,Jilin,1558,970,1,2023-09-10 08:02:00,2023-09-10 17:25:00,9.383333333333333,1
782674,31,Jilin,949,1101,10,2023-08-23 07:41:00,2023-08-23 09:50:00,2.15,1
4042536,31,Jilin,949,1101,10,2023-08-18 07:39:00,2023-08-18 10:06:00,2.45,1
2257259,31,Jilin,949,1101,10,2023-06-07 08:21:00,2023-06-07 10:34:00,2.216666666666667,1
1982189,31,Jilin,949,1101,10,2023-08-31 09:07:00,2023-08-31 12:14:00,3.1166666666666667,1
3398118,31,Jilin,949,1101,10,2023-06-15 07:45:00,2023-06-15 09:56:00,2.183333333333333,1
1942128,31,Jilin,4849,1118,0,2023-09-27 08:13:00,2023-09-27 11:29:00,3.2666666666666666,1
4506548,31,Jilin,4849,1118,0,2023-10-01 07:36:00,2023-10-01 11:22:00,3.7666666666666666,1
4292027,31,Jilin,4849,1118,0,2023-05-25 14:02:00,2023-05-25 17:00:00,2.966666666666667,1
4331080,31,Jilin,4849,1118,0,2023-09-28 08:31:00,2023-09-28 12:07:00,3.6,1
2816710,31,Jilin,435,1530,14,2023-08-22 07:51:00,2023-08-22 11:37:00,3.7666666666666666,1
4000673,31,Jilin,435,1530,14,2023-09-28 08:30:00,2023-09-28 15:39:00,7.15,1
1074543,31,Jilin,435,1530,14,2023-05-18 08:39:00,2023-05-18 16:21:00,7.7,1
4149099,31,Jilin,435,1530,14,2023-10-01 07:48:00,2023-10-01 11:47:00,3.9833333333333334,1
1891398,31,Jilin,435,1530,14,2023-06-28 08:48:00,2023-06-28 10:20:00,1.5333333333333334,0
3675177,31,Jilin,435,1530,14,2023-08-26 08:44:00,2023-08-26 13:45:00,5.016666666666667,1
2372409,31,Jilin,435,1530,14,2023-09-01 08:59:00,2023-09-01 13:45:00,4.766666666666667,1
3640339,31,Jilin,435,1530,14,2023-07-08 08:12:00,2023-07-08 12:53:00,4.683333333333334,1
1568469,31,Jilin,435,1530,14,2023-07-22 07:36:00,2023-07-22 12:29:00,4.883333333333334,1
883203,31,Jilin,435,1530,14,2023-06-25 12:34:00,2023-06-25 15:47:00,3.216666666666667,1
28212,31,Jilin,435,1530,14,2023-08-13 07:50:00,2023-08-13 12:56:00,5.1,1
1696947,31,Jilin,435,1530,14,2023-08-19 07:57:00,2023-08-19 12:38:00,4.683333333333334,1
3434038,31,Jilin,435,1530,14,2023-09-05 08:29:00,2023-09-05 11:32:00,3.05,1
668288,31,Jilin,435,1530,14,2023-07-01 07:59:00,2023-07-01 11:02:00,3.05,1
194038,31,Jilin,435,1530,14,2023-06-27 09:48:00,2023-06-27 11:48:00,2.0,0
1492794,31,Jilin,435,1530,14,2023-05-20 07:56:00,2023-05-20 13:32:00,5.6,1
938735,31,Jilin,435,1530,14,2023-08-04 08:30:00,2023-08-04 11:48:00,3.3,1
2128642,31,Jilin,435,1530,14,2023-08-15 07:59:00,2023-08-15 12:52:00,4.883333333333334,1
1360232,31,Jilin,435,1530,14,2023-07-17 08:01:00,2023-07-17 10:34:00,2.55,1
737684,31,Jilin,435,1530,14,2023-09-08 08:41:00,2023-09-08 12:43:00,4.033333333333333,1
3413952,31,Jilin,435,1530,14,2023-08-06 07:52:00,2023-08-06 12:46:00,4.9,1
2479981,31,Jilin,435,1530,14,2023-08-06 07:51:00,2023-08-06 12:35:00,4.733333333333333,1
4303930,31,Jilin,435,1530,14,2023-09-25 12:31:00,2023-09-25 16:20:00,3.816666666666667,1
1839378,31,Jilin,435,1530,14,2023-08-13 07:45:00,2023-08-13 13:20:00,5.583333333333333,1
776100,31,Jilin,435,1530,14,2023-08-14 08:21:00,2023-08-14 14:23:00,6.033333333333333,1
3113663,31,Jilin,435,1530,14,2023-05-27 08:13:00,2023-05-27 12:08:00,3.9166666666666665,1
1124007,31,Jilin,435,1530,14,2023-06-09 08:32:00,2023-06-09 13:12:00,4.666666666666667,1
505693,31,Jilin,435,1530,14,2023-07-02 08:12:00,2023-07-02 11:13:00,3.0166666666666666,1
539971,31,Jilin,435,1530,14,2023-07-06 07:54:00,2023-07-06 12:01:00,4.116666666666666,1
623463,31,Jilin,435,1530,14,2023-09-11 08:30:00,2023-09-11 15:26:00,6.933333333333334,1
2364161,31,Jilin,4609,1530,14,2023-06-17 12:34:00,2023-06-17 16:26:00,3.8666666666666667,1
1801909,31,Jilin,4609,1530,14,2023-06-17 12:33:00,2023-06-17 16:33:00,4.0,1
129699,31,Jilin,4849,1642,4,2023-08-25 09:27:00,2023-08-25 14:45:00,5.3,1
712288,31,Jilin,4849,1642,4,2023-08-22 08:59:00,2023-08-22 12:38:00,3.65,1
2405854,31,Jilin,4849,1642,4,2023-07-29 08:09:00,2023-07-29 12:41:00,4.533333333333333,1
1172914,31,Jilin,4849,1642,4,2023-07-24 07:42:00,2023-07-24 11:49:00,4.116666666666666,1
226306,31,Jilin,4849,1642,4,2023-08-16 07:54:00,2023-08-16 15:17:00,7.383333333333334,1
2591,31,Jilin,4849,1642,4,2023-06-14 08:52:00,2023-06-14 13:51:00,4.983333333333333,1
3152115,31,Jilin,4849,1642,4,2023-05-16 09:26:00,2023-05-16 12:14:00,2.8,1
3050936,31,Jilin,4849,1642,4,2023-07-19 07:33:00,2023-07-19 10:59:00,3.433333333333333,1
3248964,31,Jilin,4849,1642,4,2023-06-28 08:48:00,2023-06-28 10:57:00,2.15,1
1787692,31,Jilin,4849,1642,4,2023-07-23 07:24:00,2023-07-23 12:00:00,4.6,1
603700,31,Jilin,4849,1642,4,2023-09-18 08:16:00,2023-09-18 13:43:00,5.45,1
935740,31,Jilin,4849,1642,4,2023-08-15 12:51:00,2023-08-15 12:53:00,0.03333333333333333,0
3969888,31,Jilin,1558,1665,1,2023-10-05 07:42:00,2023-10-05 16:59:00,9.283333333333333,1
4056550,31,Jilin,2398,1665,1,2023-10-02 08:06:00,2023-10-02 12:18:00,4.2,1
2740179,31,Jilin,4849,1696,14,2023-09-26 07:41:00,2023-09-26 14:41:00,7.0,1
2970041,31,Jilin,4849,1696,14,2023-07-06 07:37:00,2023-07-06 10:50:00,3.216666666666667,1
1289842,31,Jilin,4849,1696,14,2023-09-25 08:07:00,2023-09-25 10:39:00,2.533333333333333,1
765808,31,Jilin,4849,1696,14,2023-08-16 07:55:00,2023-08-16 10:49:00,2.9,1
3984957,31,Jilin,4849,1696,14,2023-09-16 09:01:00,2023-09-16 10:34:00,1.55,0
248879,31,Jilin,4849,1696,14,2023-07-09 08:04:00,2023-07-09 10:35:00,2.5166666666666666,1
2697259,31,Jilin,4849,1696,14,2023-05-27 15:17:00,2023-05-27 16:00:00,0.7166666666666667,0
3607142,31,Jilin,4849,1696,14,2023-08-22 09:02:00,2023-08-22 10:52:00,1.8333333333333333,0
204457,31,Jilin,4849,1696,14,2023-07-27 08:28:00,2023-07-27 09:59:00,1.5166666666666666,0
183646,31,Jilin,1558,1822,4,2023-10-17 08:10:00,2023-10-17 19:34:00,11.4,1
1069057,31,Jilin,4849,1822,4,2023-08-26 09:15:00,2023-08-26 15:17:00,6.033333333333333,1
4297646,31,Jilin,949,1996,14,2023-05-31 10:34:00,2023-05-31 13:30:00,2.933333333333333,1
